An,base_pred,resid_pred,price_pred
2026,10124.01472112044,163.99387292446107,10288.0085940449
2027,10342.673577669164,163.99387292446107,10506.667450593624
2028,10633.735135079336,163.99387292446107,10797.729008003796
2029,10968.401343483492,163.99387292446107,11132.395216407953
2030,11332.131017650363,163.99387292446107,11496.124890574823
2031,11717.701449733966,163.99387292446107,11881.695322658426
2032,12121.650829318478,163.99387292446107,12285.644702242938
2033,12542.45427734417,163.99387292446107,12706.44815026863
2034,12979.588849336084,163.99387292446107,13143.582722260544
2035,13433.05439293363,163.99387292446107,13597.048265858091
2036,13903.128168135452,163.99387292446107,14067.122041059913
2037,14390.239346898092,163.99387292446107,14554.233219822552
2038,14894.904995560712,163.99387292446107,15058.898868485172
2039,15417.697596020904,163.99387292446107,15581.691468945364
2040,15959.22875139868,163.99387292446107,16123.22262432314
2041,16520.141203277493,163.99387292446107,16684.135076201954
2042,17101.10512390009,163.99387292446107,17265.098996824552
2043,17702.816613877592,163.99387292446107,17866.810486802053
2044,18325.997344712938,163.99387292446107,18489.9912176374
2045,18971.394802717743,163.99387292446107,19135.388675642203
2046,19639.782856166592,163.99387292446107,19803.776729091052
2047,20331.9625035729,163.99387292446107,20495.95637649736
2048,21048.76273074614,163.99387292446107,21212.7566036706
2049,21791.04144008867,163.99387292446107,21955.03531301313
2050,22559.686433965966,163.99387292446107,22723.680306890426
