,predicted_price_sqm,ci_lower,ci_upper
2026-01-01,12076.482091628588,11733.110275250814,12419.853908006362
2027-01-01,14157.482366560775,13421.843788490296,14893.120944631253
2028-01-01,16238.482641492961,15024.27282843334,17452.69245455258
2029-01-01,18319.482916425146,16554.180437513747,20084.785395336545
2030-01-01,20400.483191357333,18020.128004978436,22780.83837773623
2031-01-01,22481.48346628952,19428.179687764557,25534.78724481448
2032-01-01,24562.483741221706,20782.93656279326,28342.03091965015
2033-01-01,26643.484016153892,22088.048348364282,31198.919683943503
2034-01-01,28724.48429108608,23346.503230113587,34102.46535205857
2035-01-01,30805.484566018262,24560.80683530969,37050.162296726834
2036-01-01,32886.48484095045,25733.099788538548,40039.869893362345
2037-01-01,34967.485115882635,26865.238630173862,43069.73160159141
2038-01-01,37048.48539081482,27958.85361819873,46138.117163430914
2039-01-01,39129.48566574701,29015.39128079096,49243.58005070306
2040-01-01,41210.485940679195,30036.146537683744,52384.825343674645
2041-01-01,43291.48621561138,31022.287466777878,55560.68496444488
2042-01-01,45372.48649054357,31974.874750276715,58770.09823081042
2043-01-01,47453.486765475755,32894.87718601981,62012.0963449317
2044-01-01,49534.48704040794,33783.184232364976,65285.789848450906
2045-01-01,51615.48731534013,34640.616278602974,68590.35835207728
2046-01-01,53696.487590272314,35467.93314520929,71925.04203533534
2047-01-01,55777.4878652045,36265.84118792521,75289.1345424838
2048-01-01,57858.48814013669,37034.99928737855,78681.97699289482
2049-01-01,59939.488415068874,37776.02393943879,82102.95289069896
2050-01-01,62020.48869000106,38489.49361279023,85551.48376721189
