An,price_pred,low_95,high_95
2026,4144.538258808323,-999.2258866103612,9288.302404227008
2027,1584.8936624150049,-3913.734347549317,7083.521672379326
2028,1946.7701758767219,-3573.514530306845,7467.054882060288
2029,1937.2561283903608,-3605.9497497132843,7480.462006494005
2030,1819.433851251328,-3728.99866437704,7367.866366879695
2031,1702.222699323503,-3850.2470885270873,7254.692487174094
2032,1611.3882258080505,-3943.062483748622,7165.838935364723
2033,1549.2407708866922,-4005.9980635861493,7104.479605359534
2034,1509.9083634217725,-4045.6135116495925,7065.430238493137
2035,1486.4445309371556,-4069.172376323205,7042.0614381975165
2036,1473.1730442289545,-4082.47390406087,7028.819992518779
2037,1466.0713978865626,-4089.584368927336,7021.727164700461
2038,1462.499732766963,-4093.158372455767,7018.157837989693
2039,1460.826460507214,-4094.8321865677167,7016.485107582144
2040,1460.1038132222245,-4095.554940088904,7015.7625665333535
2041,1459.8193538037376,-4095.8394166338494,7015.478124241325
2042,1459.718506719555,-4095.940265932053,7015.377279371163
2043,1459.6866998243354,-4095.972073051645,7015.345472700315
2044,1459.6778858363725,-4095.980887057053,7015.336658729798
2045,1459.6757668188723,-4095.983006075573,7015.334539713317
2046,1459.6753304341644,-4095.983442460324,7015.334103328653
2047,1459.6752544410435,-4095.983518453446,7015.334027335533
2048,1459.6752433963404,-4095.9835294981494,7015.33401629083
2049,1459.6752420745445,-4095.9835308199454,7015.334014969034
2050,1459.6752419461054,-4095.983530948384,7015.334014840595
